route_id,agency_id,route_short_name,route_long_name,route_type
40_218,ac_transit,218,218,3
40_235,ac_transit,235,235,3
40_211AC,ac_transit,211,211,3
40_212,ac_transit,212,212,3
40_214,ac_transit,214,214,3
40_215,ac_transit,215,215,3
40_217,ac_transit,217,217,3
40_231,ac_transit,231,231,3
40_232,ac_transit,232,232,3
40_210,ac_transit,210,210,3
40_213,ac_transit,213,213,3
40_210A,ac_transit,210A,210A,3
40_216AC,ac_transit,216,216,3
38_7AC,ac_transit,7,7,3
38_11EBAC,ac_transit,11,11_EB,3
38_11WBAC,ac_transit,11,11_WB,3
38_13AC,ac_transit,13,13,3
38_45AC,ac_transit,45,45,3
38_46AC,ac_transit,46,46,3
38_47AC,ac_transit,47,47,3
38_48AC,ac_transit,48,48,3
38_54AC,ac_transit,54,54,3
38_65AC,ac_transit,65,65,3
38_74AC,ac_transit,74,74,3
38_40LSBAC,ac_transit,40L,40L_SB,3
38_40LNBAC,ac_transit,40L,40L_NB,3
38_43.1SBAC,ac_transit,43.1,43.1_SB,3
38_43.2SBAC,ac_transit,43.2,43.2_SB,3
38_43.1NBAC,ac_transit,43.1,43.1_NB,3
38_43.2NBAC,ac_transit,43.2,43.2_NB,3
38_57WB,ac_transit,57,57_WB,3
38_57EB,ac_transit,57,57_EB,3
38_62SBAC,ac_transit,62,62_SB,3
38_62NBAC,ac_transit,62,62_NB,3
38_82LWBAC,ac_transit,82L,82L_WB,3
38_82LEBAC,ac_transit,82L,82L_EB,3
38_82WBAC,ac_transit,82,82_WB,3
38_72SBAC,ac_transit,72,72_SB,3
38_72NBAC,ac_transit,72,72_NB,3
38_98.2AC,ac_transit,98.2,98.2,3
38_98.1AC,ac_transit,98.1,98.1,3
38_12AC,ac_transit,12,12,3
38_14AC,ac_transit,14,14,3
38_50EBAC,ac_transit,50,50_EB,3
38_50WBAC,ac_transit,50,50_WB,3
38_52NBAC,ac_transit,52,52_NB,3
38_52SBAC,ac_transit,52,52_SB,3
38_63NBAC,ac_transit,63,63_NB,3
38_63SBAC,ac_transit,63,63_SB,3
38_70AC,ac_transit,70,70,3
38_72M,ac_transit,72M,72M,3
38_72R,ac_transit,72,72_R,3
38_76AC,ac_transit,76,76,3
38_88NBAC,ac_transit,88,88_NB,3
38_88SBAC,ac_transit,88,88_SB,3
38_53.1AC,ac_transit,53.1,53.1,3
38_53.2AC,ac_transit,53.2,53.2,3
38_56CWAC,ac_transit,56CW,56CW,3
38_56CCWAC,ac_transit,56CCW,56CCW,3
38_59NBAC,ac_transit,59,59_NB,3
38_59SBAC,ac_transit,59,59_SB,3
38_67AC,ac_transit,67,67,3
38_71NBAC,ac_transit,71,71_NB,3
38_71SBAC,ac_transit,71,71_SB,3
38_82EBAC,ac_transit,82,82_EB,3
38_13AAC,ac_transit,13A,13A,3
38_40NBAC,ac_transit,40,40_NB,3
38_40SBAC,ac_transit,40,40_SB,3
38_43.3SBAC,ac_transit,43.3,43.3_SB,3
38_51ANBAC,ac_transit,51A,51A_NB,3
38_51ASBAC,ac_transit,51A,51A_SB,3
38_59.1NBAC,ac_transit,59.1,59.1_NB,3
38_59.1SBAC,ac_transit,59.1,59.1_SB,3
38_43.3NBAC,ac_transit,43.3,43.3_NB,3
38_41AC,ac_transit,41,41,3
