N,X,Y,TAZ,TAZdist
1,6008120.30634,2086464.60113,1,0.000
2,5993658.16063,2086661.11814,2,0.000
3,6006012.36294,2086610.91055,3,0.000
4,5995631.69110,2086718.53562,4,0.000
5,6007266.41054,2086606.49160,5,0.000
6,6009628.11104,2086573.28825,6,0.000
7,6006624.34979,2087216.98203,7,0.000
8,6002334.20438,2086830.44958,8,0.000
9,5996890.10428,2087119.92934,9,0.000
10,5995019.74805,2087625.91121,10,0.000
11,6000423.97079,2087567.87789,11,0.000
12,6006408.99458,2087705.93046,12,0.000
13,5997897.03289,2087557.91850,13,0.000
14,6001773.41898,2087593.51481,14,0.000
15,6010681.82171,2087617.53568,15,0.000
16,5992761.28858,2087496.61278,16,0.000
17,6008287.21710,2087730.52578,17,0.000
18,6009531.37011,2088093.10012,18,0.000
19,6000341.88869,2088249.59241,19,0.000
20,5995027.01429,2088627.93292,20,0.000
21,6001498.51631,2088676.62663,21,0.000
22,5998286.23626,2088353.32494,22,0.000
23,6010550.58375,2088828.62342,23,0.000
24,5992130.65381,2088612.72359,24,0.000
25,5993344.83163,2089245.13237,25,0.000
26,5996418.59784,2089409.43575,26,0.000
27,6011891.77666,2088744.89891,27,0.000
28,5996829.65393,2088588.73774,28,0.000
29,5994871.21609,2089523.75188,29,0.000
30,6010753.29009,2089540.52145,30,0.000
31,5988173.61075,2089571.36877,31,0.000
32,5999587.57432,2089256.22246,32,0.000
33,6002296.68075,2089293.56643,33,0.000
34,5989088.92012,2089713.20175,34,0.000
35,5996063.56081,2090223.90930,35,0.000
36,6010989.59153,2090137.85894,36,0.000
37,6003549.99361,2089688.11281,37,0.000
38,5998747.42071,2089944.66275,38,0.000
39,6001399.16479,2089966.59483,39,0.000
40,5993570.87101,2090526.12912,40,0.000
41,5994596.87176,2090582.45162,41,0.000
42,5992117.91416,2090860.20500,42,0.000
43,5997710.42992,2090366.09684,43,0.000
44,6011912.72720,2090383.64499,44,0.000
45,5996464.08256,2090986.20041,45,0.000
46,5999548.47866,2091015.66269,46,0.000
47,6004152.67070,2090838.61417,47,0.000
48,6000892.86755,2090825.43026,48,0.000
49,6009783.63215,2090879.21634,49,0.000
50,6002458.72932,2091132.07887,50,0.000
51,6011163.80687,2091368.26219,51,0.000
52,5988089.60616,2090949.38800,52,0.000
53,5995846.50621,2091601.39738,53,0.000
54,5994600.39845,2091794.65268,54,0.000
55,6000298.30854,2092147.73985,55,0.000
56,6001677.08226,2092300.56843,56,0.000
57,6011152.26123,2092412.09418,57,0.000
58,6003236.73159,2092218.08489,58,0.000
59,5993091.18842,2092061.10118,59,0.000
60,6006099.92788,2092655.17728,60,0.000
61,6005031.31547,2092220.08135,61,0.000
62,6004063.44841,2093063.97119,62,0.000
63,6009878.60044,2092612.23800,63,0.000
64,6007102.54549,2093087.60370,64,0.000
65,5997982.36444,2092773.49423,65,0.000
66,6002262.26592,2093241.50024,66,0.000
67,6016770.01618,2093318.84787,67,0.000
68,6015201.96267,2093439.28247,68,0.000
69,6004603.76947,2093758.16028,69,0.000
70,6008967.74217,2093710.20091,70,0.000
71,5999641.74440,2094156.34263,71,0.000
72,6005530.10868,2094127.76571,72,0.000
73,5997755.36667,2094251.69841,73,0.000
74,6015705.05881,2094113.09609,74,0.000
75,6007478.54495,2094171.27766,75,0.000
76,6014012.01717,2094286.91276,76,0.000
77,6002647.25698,2094329.63546,77,0.000
78,6001508.22776,2095012.47374,78,0.000
79,6010657.41484,2093973.79079,79,0.000
80,6003716.95711,2095011.50037,80,0.000
81,5984597.08264,2094951.75622,81,0.000
82,5995634.91170,2095073.36456,82,0.000
83,5985863.36996,2095062.33324,83,0.000
84,5987038.66447,2095189.40932,84,0.000
85,5988319.18371,2095345.76332,85,0.000
86,5989835.58784,2095350.62202,86,0.000
87,6006837.10377,2095258.27801,87,0.000
88,6005036.52615,2095428.44379,88,0.000
89,6011928.63209,2094826.62373,89,0.000
90,6005640.00698,2096299.56752,90,0.000
91,5994159.51103,2095514.14847,91,0.000
92,6009556.59296,2095159.08745,92,0.000
93,5984387.04976,2096317.67088,93,0.000
94,6003900.75613,2096349.29617,94,0.000
95,5999494.02984,2095526.88145,95,0.000
96,6007863.02345,2096388.91751,96,0.000
97,6001454.76783,2096348.16079,97,0.000
98,6006989.50184,2096640.48145,98,0.000
99,5982331.01490,2096934.96982,99,0.000
100,6008481.81709,2096461.59595,100,0.000
101,6004384.82952,2097196.79649,101,0.000
102,6005933.76818,2097214.28959,102,0.000
103,5994365.15679,2097234.97531,103,0.000
104,6004537.06051,2098022.55447,104,0.000
105,6006605.16344,2097947.44086,105,0.000
106,5983339.81347,2097545.85608,106,0.000
107,6004722.94356,2098657.62654,107,0.000
108,6005893.83458,2098398.51407,108,0.000
109,5993922.24612,2098432.40079,109,0.000
110,5981756.89749,2098445.50005,110,0.000
111,5982550.64056,2098444.32047,111,0.000
112,5984321.71726,2098843.60290,112,0.000
113,6003972.94651,2099104.07089,113,0.000
114,6009774.98844,2098846.20711,114,0.000
115,5991231.35353,2099420.59873,115,0.000
116,6007057.61526,2099026.90453,116,0.000
117,5996486.25309,2098721.62541,117,0.000
118,5995131.58817,2099098.14902,118,0.000
119,6005257.90799,2099487.98555,119,0.000
120,6003925.19817,2099979.41849,120,0.000
121,5991208.08105,2100100.57517,121,0.000
122,5996000.29500,2099781.20195,122,0.000
123,6005360.35813,2100210.06873,123,0.000
124,6006472.82934,2099691.36410,124,0.000
125,6008071.01810,2100275.41931,125,0.000
126,6010078.94420,2099996.81068,126,0.000
127,6004215.74284,2100800.91236,127,0.000
128,6005995.36794,2100897.98025,128,0.000
129,6006800.87723,2101013.70286,129,0.000
130,6007438.57558,2101027.57218,130,0.000
131,5982480.09482,2100482.63286,131,0.000
132,5983267.55419,2100168.13091,132,0.000
133,6008072.74339,2101048.52192,133,0.000
134,6009422.75282,2101089.04028,134,0.000
135,6010270.22996,2101144.54809,135,0.000
136,5989930.12634,2100737.03958,136,0.000
137,6002070.62193,2101172.09596,137,0.000
138,6003210.17688,2101257.24108,138,0.000
139,6004486.82405,2101620.20709,139,0.000
140,6005691.08184,2101489.77617,140,0.000
141,6008687.56592,2101359.94975,141,0.000
142,6001244.45156,2102020.54784,142,0.000
143,6004454.35361,2102202.72786,143,0.000
144,6005756.93605,2102274.11467,144,0.000
145,5992740.40235,2101920.85149,145,0.000
146,6008216.54651,2102214.82073,146,0.000
147,6003152.76295,2102277.00120,147,0.000
148,6011049.72517,2101931.77824,148,0.000
149,6009359.90737,2102180.75748,149,0.000
150,6010165.60551,2102224.83848,150,0.000
151,5996340.95375,2101253.13959,151,0.000
152,6012645.80852,2102155.56938,152,0.000
153,5981981.10873,2102506.87984,153,0.000
154,5997678.55780,2101706.64266,154,0.000
155,5983724.76232,2102405.68019,155,0.000
156,6005723.59221,2102856.45103,156,0.000
157,6006727.58591,2102326.71502,157,0.000
158,6007364.18041,2102362.75020,158,0.000
159,6000967.14333,2102747.95576,159,0.000
160,5981940.44195,2103186.53602,160,0.000
161,6002000.35576,2102945.13761,161,0.000
162,6003104.49547,2103149.99797,162,0.000
163,5983861.84819,2103249.28853,163,0.000
164,6004405.91278,2103075.80786,164,0.000
165,6005692.60499,2103439.80969,165,0.000
166,6012346.22076,2103291.38071,166,0.000
167,5999052.64381,2101742.49683,167,0.000
168,5989860.29209,2102776.36778,168,0.000
169,5991054.06262,2103129.43103,169,0.000
170,6008264.09572,2103289.40774,170,0.000
171,6009561.75520,2103360.75834,171,0.000
172,5981903.62079,2103865.30622,172,0.000
173,6004043.70964,2103931.11876,173,0.000
174,5983835.70792,2103928.45358,174,0.000
175,5986550.48319,2104023.37536,175,0.000
176,6007048.88769,2103749.83635,176,0.000
177,5999369.74683,2104111.36679,177,0.000
178,6000327.66707,2103422.42861,178,0.000
179,6001667.35626,2103976.05473,179,0.000
180,5997898.53039,2103088.21434,180,0.000
181,6002937.37652,2104261.20876,181,0.000
182,5981867.27295,2104544.52605,182,0.000
183,6005643.20974,2104314.53276,183,0.000
184,5983814.07611,2104609.54840,184,0.000
185,6006684.13528,2104488.05994,185,0.000
186,6009497.98780,2104471.49841,186,0.000
187,5986526.87352,2104702.06108,187,0.000
188,6008199.12651,2104455.44415,188,0.000
189,6010726.35364,2103683.60673,189,0.000
190,6001847.12024,2104785.30183,190,0.000
191,6006983.79245,2105149.85522,191,0.000
192,5981825.47376,2105224.02319,192,0.000
193,5983791.00230,2105289.86883,193,0.000
194,5985248.75743,2104555.16331,194,0.000
195,5998320.20035,2105088.33642,195,0.000
196,5999597.91147,2104912.57979,196,0.000
197,6013770.84026,2105238.30418,197,0.000
198,5986503.58920,2105382.45458,198,0.000
199,6000470.20968,2105265.53004,199,0.000
200,5991171.56399,2105543.32923,200,0.000
201,6002983.38035,2105336.93813,201,0.000
202,6001707.59852,2105563.52683,202,0.000
203,5993043.35307,2105607.24316,203,0.000
204,6005577.80265,2105481.31859,204,0.000
205,6006849.86655,2105843.86485,205,0.000
206,5981787.06628,2105902.48738,206,0.000
207,5983767.53927,2105969.39870,207,0.000
208,5986480.53690,2106062.25509,208,0.000
