route_id,agency
AC TRANSIT,AC Transit
AC Transit_1,AC Transit
AC Transit_11,AC Transit
AC Transit_12,AC Transit
AC Transit_14,AC Transit
AC Transit_18,AC Transit
AC Transit_1R,AC Transit
AC Transit_20,AC Transit
AC Transit_21,AC Transit
AC Transit_210,AC Transit
AC Transit_212,AC Transit
AC Transit_215,AC Transit
AC Transit_216,AC Transit
AC Transit_217,AC Transit
AC Transit_22,AC Transit
AC Transit_232,AC Transit
AC Transit_239,AC Transit
AC Transit_242,AC Transit
AC Transit_25,AC Transit
AC Transit_251,AC Transit
AC Transit_26,AC Transit
AC Transit_264,AC Transit
AC Transit_275,AC Transit
AC Transit_31,AC Transit
AC Transit_32,AC Transit
AC Transit_333,AC Transit
AC Transit_339,AC Transit
AC Transit_37,AC Transit
AC Transit_376,AC Transit
AC Transit_39,AC Transit
AC Transit_40,AC Transit
AC Transit_45,AC Transit
AC Transit_46,AC Transit
AC Transit_47,AC Transit
AC Transit_48,AC Transit
AC Transit_49,AC Transit
AC Transit_51A,AC Transit
AC Transit_51B,AC Transit
AC Transit_52,AC Transit
AC Transit_54,AC Transit
AC Transit_57,AC Transit
AC Transit_58L,AC Transit
AC Transit_60,AC Transit
AC Transit_62,AC Transit
AC Transit_65,AC Transit
AC Transit_67,AC Transit
AC Transit_68,AC Transit
AC Transit_7,AC Transit
AC Transit_70,AC Transit
AC Transit_71,AC Transit
AC Transit_72,AC Transit
AC Transit_72M,AC Transit
AC Transit_72R,AC Transit
AC Transit_73,AC Transit
AC Transit_74,AC Transit
AC Transit_75,AC Transit
AC Transit_76,AC Transit
AC Transit_805,AC Transit
AC Transit_83,AC Transit
AC Transit_840,AC Transit
AC Transit_85,AC Transit
AC Transit_86,AC Transit
AC Transit_88,AC Transit
AC Transit_89,AC Transit
AC Transit_93,AC Transit
AC Transit_94,AC Transit
AC Transit_95,AC Transit
AC Transit_97,AC Transit
AC Transit_98,AC Transit
AC Transit_99,AC Transit
AC Transit_B,AC Transit
AC Transit_BSD,AC Transit
AC Transit_BSN,AC Transit
AC Transit_C,AC Transit
AC Transit_CB,AC Transit
AC Transit_DB,AC Transit
AC Transit_DB1,AC Transit
AC Transit_E,AC Transit
AC Transit_F,AC Transit
AC Transit_FS,AC Transit
AC Transit_G,AC Transit
AC Transit_H,AC Transit
AC Transit_J,AC Transit
AC Transit_L,AC Transit
AC Transit_LA,AC Transit
AC Transit_M,AC Transit
AC Transit_NL,AC Transit
AC Transit_NX,AC Transit
AC Transit_NX1,AC Transit
AC Transit_NX2,AC Transit
