OBS_route_id,OBS_agency,GTFS1.8_route_id,GTFS1.8_agency,
AC Transit_1,AC Transit,,,
AC Transit_11,AC Transit,ac_transit_11,ac_transit,
AC Transit_12,AC Transit,ac_transit_12,ac_transit,
,AC Transit,ac_transit_13,ac_transit,
,AC Transit,ac_transit_13A,ac_transit,
AC Transit_14,AC Transit,ac_transit_14,ac_transit,
AC Transit_18,AC Transit,,ac_transit,
AC Transit_1R,AC Transit,,ac_transit,
AC Transit_20,AC Transit,,ac_transit,
AC Transit_21,AC Transit,,ac_transit,
AC Transit_210,AC Transit,ac_transit_210,ac_transit,
,AC Transit,ac_transit_211,ac_transit,
AC Transit_212,AC Transit,ac_transit_212,ac_transit,
,AC Transit,ac_transit_213,ac_transit,
,AC Transit,ac_transit_214,ac_transit,
AC Transit_215,AC Transit,ac_transit_215,ac_transit,
AC Transit_216,AC Transit,ac_transit_216,ac_transit,
AC Transit_217,AC Transit,ac_transit_217,ac_transit,
,AC Transit,ac_transit_218,ac_transit,
AC Transit_22,AC Transit,,ac_transit,
,AC Transit,ac_transit_231,ac_transit,
AC Transit_232,AC Transit,ac_transit_232,ac_transit,
,AC Transit,ac_transit_235,ac_transit,
AC Transit_239,AC Transit,,ac_transit,
AC Transit_242,AC Transit,,ac_transit,
AC Transit_25,AC Transit,,ac_transit,
AC Transit_251,AC Transit,,ac_transit,
AC Transit_26,AC Transit,,ac_transit,
AC Transit_264,AC Transit,,ac_transit,
AC Transit_275,AC Transit,,ac_transit,
AC Transit_31,AC Transit,,ac_transit,
AC Transit_32,AC Transit,,ac_transit,
AC Transit_333,AC Transit,,ac_transit,
AC Transit_339,AC Transit,,ac_transit,
AC Transit_37,AC Transit,,ac_transit,
AC Transit_376,AC Transit,ac_transit_376East,ac_transit,MULT
AC Transit_376,AC Transit,ac_transit_376West,ac_transit,MULT
AC Transit_39,AC Transit,,ac_transit,
AC Transit_40,AC Transit,ac_transit_40,ac_transit,MULT
AC Transit_40,AC Transit,ac_transit_40A,ac_transit,MULT
AC Transit_40,AC Transit,ac_transit_40L,ac_transit,MULT
,AC Transit,ac_transit_41,ac_transit,
,AC Transit,ac_transit_43.1,ac_transit,
,AC Transit,ac_transit_43.2,ac_transit,
,AC Transit,ac_transit_43.3,ac_transit,
AC Transit_45,AC Transit,ac_transit_45,ac_transit,
AC Transit_46,AC Transit,ac_transit_46,ac_transit,
AC Transit_47,AC Transit,ac_transit_47,ac_transit,
AC Transit_48,AC Transit,ac_transit_48,ac_transit,
AC Transit_49,AC Transit,,ac_transit,
,AC Transit,ac_transit_50,ac_transit,
AC Transit_51A,AC Transit,ac_transit_51A,ac_transit,
AC Transit_51B,AC Transit,,ac_transit,
AC Transit_52,AC Transit,ac_transit_52,ac_transit,
,AC Transit,ac_transit_53.1,ac_transit,
,AC Transit,ac_transit_53.2,ac_transit,
AC Transit_54,AC Transit,ac_transit_54,ac_transit,
,AC Transit,ac_transit_55,ac_transit,
,AC Transit,ac_transit_56CCW,ac_transit,
,AC Transit,ac_transit_56CW,ac_transit,
AC Transit_57,AC Transit,ac_transit_57,ac_transit,
AC Transit_58L,AC Transit,,ac_transit,
,AC Transit,ac_transit_59,ac_transit,
,AC Transit,ac_transit_59.1,ac_transit,
AC Transit_60,AC Transit,,ac_transit,
AC Transit_62,AC Transit,ac_transit_62,ac_transit,
,AC Transit,ac_transit_63,ac_transit,
AC Transit_65,AC Transit,ac_transit_65,ac_transit,
AC Transit_67,AC Transit,ac_transit_67,ac_transit,
AC Transit_68,AC Transit,,ac_transit,
AC Transit_7,AC Transit,ac_transit_7,ac_transit,
AC Transit_70,AC Transit,ac_transit_70,ac_transit,
AC Transit_71,AC Transit,ac_transit_71,ac_transit,
AC Transit_72,AC Transit,ac_transit_72,ac_transit,
AC Transit_72M,AC Transit,ac_transit_72M,ac_transit,
AC Transit_72R,AC Transit,ac_transit_72R,ac_transit,
AC Transit_73,AC Transit,,ac_transit,
AC Transit_74,AC Transit,ac_transit_74,ac_transit,
AC Transit_75,AC Transit,,ac_transit,
AC Transit_76,AC Transit,ac_transit_76,ac_transit,
,AC Transit,ac_transit_77,ac_transit,
,AC Transit,ac_transit_80,ac_transit,
,AC Transit,ac_transit_800,ac_transit,
AC Transit_805,AC Transit,,ac_transit,
,AC Transit,ac_transit_81,ac_transit,
,AC Transit,ac_transit_81A,ac_transit,
,AC Transit,ac_transit_82,ac_transit,
AC Transit_83,AC Transit,ac_transit_83,ac_transit,
,AC Transit,ac_transit_84,ac_transit,
AC Transit_840,AC Transit,,ac_transit,
AC Transit_85,AC Transit,ac_transit_85,ac_transit,
,AC Transit,ac_transit_85A,ac_transit,
,AC Transit,ac_transit_85B,ac_transit,
AC Transit_86,AC Transit,ac_transit_86,ac_transit,
,AC Transit,ac_transit_86A,ac_transit,
,AC Transit,ac_transit_87,ac_transit,
AC Transit_88,AC Transit,ac_transit_88,ac_transit,
AC Transit_89,AC Transit,,ac_transit,
,AC Transit,ac_transit_91.1MID,ac_transit,
,AC Transit,ac_transit_91.2MID,ac_transit,
,AC Transit,ac_transit_91NBAM,ac_transit,
,AC Transit,ac_transit_91SBAM,ac_transit,
,AC Transit,ac_transit_92,ac_transit,
AC Transit_93,AC Transit,ac_transit_93,ac_transit,
AC Transit_94,AC Transit,ac_transit_94,ac_transit,
AC Transit_95,AC Transit,ac_transit_95,ac_transit,
AC Transit_97,AC Transit,ac_transit_97,ac_transit,
AC Transit_98,AC Transit,ac_transit_98.1,ac_transit,MULT
AC Transit_98,AC Transit,ac_transit_98.2,ac_transit,MULT
AC Transit_99,AC Transit,ac_transit_99,ac_transit,MULT
AC Transit_99,AC Transit,ac_transit_99A,ac_transit,MULT
AC Transit_B,AC Transit,ac_transit_B,ac_transit,
AC Transit_BSD,AC Transit,,,
AC Transit_BSN,AC Transit,,,
AC Transit_C,AC Transit,ac_transit_C,ac_transit,
AC Transit_CB,AC Transit,ac_transit_CB,ac_transit,
AC Transit_DB,AC Transit,,,
AC Transit_DB1,AC Transit,,,
AC Transit_E,AC Transit,ac_transit_E,ac_transit,
,AC Transit,ac_transit_EA,ac_transit,
AC Transit_F,AC Transit,ac_transit_F,ac_transit,
AC Transit_FS,AC Transit,ac_transit_FS,ac_transit,
AC Transit_G,AC Transit,ac_transit_G,ac_transit,
AC Transit_H,AC Transit,ac_transit_H,ac_transit,
AC Transit_J,AC Transit,ac_transit_J,ac_transit,
AC Transit_L,AC Transit,ac_transit_L,ac_transit,
AC Transit_LA,AC Transit,ac_transit_LA,ac_transit,
AC Transit_M,AC Transit,ac_transit_M,ac_transit,MULT
