trip_list_id_num,person_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot
1,3,1280,1315,walk-transit-walk,work,7:15:00,7:15:00,departure,2.1
2,4,1539,1443,walk-transit-walk,work,8:31:00,8:31:00,departure,20.43
3,5,1354,55,walk-transit-walk,work,7:26:00,7:26:00,departure,21.03
4,15,1251,764,walk-transit-walk,college,12:01:00,12:01:00,departure,14.09
5,20,705,1390,walk-transit-walk,work,7:49:00,7:49:00,departure,36.06
6,22,642,1356,walk-transit-walk,work,6:41:00,6:41:00,departure,30.05
7,24,1341,573,walk-transit-walk,work,8:09:00,8:09:00,departure,42.07
8,26,1354,1562,walk-transit-walk,work,6:45:00,6:45:00,departure,20.43
9,31,927,1309,walk-transit-walk,work,6:47:00,6:47:00,departure,4.81
10,32,1355,1251,walk-transit-walk,work,7:22:00,7:22:00,departure,21.03
11,35,767,1538,walk-transit-walk,other,9:33:00,9:33:00,departure,40.26
12,37,1434,234,walk-transit-walk,work,8:31:00,8:31:00,departure,30.05
13,41,1249,1309,walk-transit-walk,work,9:33:00,9:33:00,departure,2.8
14,50,1355,1251,walk-transit-walk,work,6:06:00,6:06:00,departure,21.03
15,53,157,1331,walk-transit-walk,work,7:49:00,7:49:00,departure,36.06
16,56,1374,1315,walk-transit-walk,other,7:35:00,7:35:00,departure,1
17,57,590,1248,walk-transit-walk,work,6:40:00,6:40:00,departure,36.06
18,58,1593,1309,walk-transit-walk,work_based,11:57:00,11:57:00,departure,1
19,62,1559,1311,walk-transit-walk,work,7:35:00,7:35:00,departure,30.05
20,68,1337,158,walk-transit-walk,work,5:17:00,5:17:00,departure,36.06
21,71,1532,1310,walk-transit-walk,work_based,11:43:00,11:43:00,departure,1
22,73,1549,936,walk-transit-walk,work,7:32:00,7:32:00,departure,14.02
23,74,1240,632,walk-transit-walk,other,13:57:00,13:57:00,departure,13.42
24,80,1550,345,walk-transit-walk,other,6:45:00,6:45:00,departure,1
25,83,1255,1251,walk-transit-walk,work,8:54:00,8:54:00,departure,36.06
26,87,694,1280,walk-transit-walk,work,8:13:00,8:13:00,departure,42.07
27,93,1450,764,walk-transit-walk,work,9:48:00,9:48:00,departure,42.07
