stop_id,stop_name,stop_lat,stop_lon,zone_id
26187,Market,37.7594073451,-122.444947662,
27308,15th/Ortega,37.7525698061,-122.47200757,
27309,Pacheco/16th,37.7506515398,-122.473002695,
5466,5466,37.317173089,-121.833734685,
5467,5467,37.3151927195,-121.836744553,
5471,5471,37.3229082515,-121.872120982,
32830,Ashbury/Clifford,37.7641878246,-122.446073655,
32831,Wilde/Rutland/Goettingen,37.7167747159,-122.403928023,
5472,5472,37.320149455,-121.877737444,
32852,Unnamed #136/Unnamed #135/Concourse,37.7692067539,-122.468017467,
32854,South Tea Garden/Concourse,37.7701724524,-122.469293295,
5477,5477,37.3113419511,-121.869077709,
27323,15th/Noriega,37.7543888385,-122.472124322,
24008,Bryant/20th,37.759194011,-122.409770139,
5478,5478,37.3036913244,-121.854275624,
27324,Noriega/16th,37.7555485784,-122.473343519,
5479,5479,37.3054504691,-121.851642404,
5480,5480,37.3080645068,-121.847946611,
32888,14th/Santiago,37.7451590038,-122.4703653,
32890,39th/Skyline/Sloat,37.7337708514,-122.496635997,
32891,36th/Sloat,37.7340085292,-122.493345462,
32893,Sloat,37.7338364237,-122.493337767,
32894,Sloat,37.7337884224,-122.494375681,
32896,Sunset,37.7331275935,-122.493881568,
32898,Sunset,37.7331153841,-122.493723243,
32904,Great/Sloat,37.7354697494,-122.50671744,
32906,Warren,37.7536284279,-122.457759348,
21869,Miguel/Whitney/Chenery,37.7372137473,-122.427707356,
103790,103790,37.8094123228,-122.315361749,
32919,Corbett,37.7594835302,-122.445863886,
32921,Danvers/18th,37.7603763199,-122.443374434,
32936,Corbett/Corbin,37.7617236131,-122.442879389,
5490,5490,37.2944289317,-121.873415074,
5493,5493,37.3347235376,-121.856953784,
32961,Aquavista/Skyview,37.7511348611,-122.450020192,
22920,San Lorenzo/Portola,37.7399207469,-122.464051697,
27340,22nd/Noriega,37.7540986214,-122.479687241,
21879,Randall/Whitney,37.7396524071,-122.427914896,
32974,Parkridge,37.7523517172,-122.445984417,
27341,Moraga/19th,37.7561102023,-122.476554293,
32977,Corbett/Portola/Market,37.7500826113,-122.443347249,
32980,Gladeview/Skyview,37.74981293,-122.450278588,
32984,Corbett/Cuesta,37.7504589655,-122.443968743,
32986,Crestline,37.7516694168,-122.446244803,
27343,19th/Lawton,37.7579689788,-122.476684192,
24012,Bryant/19th,37.7604852565,-122.409997163,
33003,O Shaughnessy/Del Vale,37.7411987367,-122.445964328,
33011,Teresita,37.7339924181,-122.446536283,
33027,Duboce/Mission/Otis,37.7701114426,-122.420008313,
5507,5507,37.2861180594,-121.898266546,
5508,5508,37.2897472753,-121.887769196,
5509,5509,37.288178885,-121.892122122,
5510,5510,37.2631395069,-121.876847319,
5511,5511,37.2816909495,-121.881771816,
5512,5512,37.2780789488,-121.880122036,
5514,5514,37.275372961,-121.878966531,
5516,5516,37.2718442447,-121.87850004,
33105,Mendell/Cargo,37.7438833334,-122.383118226,
33112,Jerrold/Unnamed #109/Selby,37.7431874538,-122.396737732,
33114,Jerrold/Rankin,37.7421066963,-122.39506526,
33115,Jerrold/Rankin,37.741936586,-122.395046082,
5520,5520,37.2222391149,-121.883063728,
33126,Rhode Island/22nd/23rd,37.7563629593,-122.401775133,
33128,Kirkwood/Earl,37.7286385326,-122.373157921,
26199,Clayton/Carmel/Twin Peaks,37.7610067224,-122.446433622,
33132,20th/Winston,37.7268163484,-122.476020764,
33133,Fillmore/Bay,37.8027043753,-122.436711987,
33134,Fillmore/Beach,37.8044245192,-122.437068637,
33135,3rd/Palou,37.7339640443,-122.390897452,
33138,Hunters Point/Innes,37.7324961239,-122.37663804,
103827,103827,37.7992933651,-122.275131546,
22926,14th/West Portal,37.7379698831,-122.469056695,
33143,Whitney Young/Progress,37.7332365139,-122.38340761,
33146,Palou/Keith,37.7318030104,-122.387096628,
33147,Palou/Jennings,37.7307516448,-122.385226555,
33148,Ingalls/Palou,37.7296908649,-122.383344546,
33149,19th/Holloway,37.7210659934,-122.475136679,
33150,33150,37.7839625162,-122.485020592,
5525,5525,37.2509293821,-121.875292172,
33152,33152,37.7876132661,-122.485170747,
33153,Bowley/Lincoln,37.7887611196,-122.482373381,
33154,Eureka/20th,37.7574166003,-122.437950725,
33156,Eureka/22nd,37.7542311259,-122.437641876,
5526,5526,37.25531176,-121.898489857,
33158,Bacon/Bayshore,37.7281019838,-122.402209187,
5527,5527,37.2384668761,-121.885964037,
33166,Diamond/23rd,37.7526991195,-122.436440915,
33168,Diamond/25th,37.7494982813,-122.43613175,
5528,5528,37.2433669233,-121.88961036,
33170,Diamond/26th,37.7478875701,-122.435980134,
5529,5529,37.2455620302,-121.892047325,
5530,5530,37.2502162397,-121.895282884,
33183,San Bruno/Thornton,37.7303180187,-122.40470639,
33186,Diamond/Duncan,37.7454791278,-122.435756146,
5531,5531,37.2617712021,-121.902015763,
33188,Diamond/29th,37.7430857237,-122.435551912,
33189,Diamond/Diamond Heights,37.7414610659,-122.435625676,
33190,Diamond Heights/Addison,37.7401531558,-122.435746381,
33191,Addison/Farnum,37.7400433489,-122.434324755,
33192,Reposa/Teresita,37.7407931717,-122.449258772,
5532,5532,37.2802746103,-121.912598329,
33194,Myra/Omar,37.7392602732,-122.450443577,
33195,Myra,37.7381618072,-122.4508503,
33196,Myra/Molimo,37.7377050774,-122.451668581,
27378,Lincoln/21st,37.7653509821,-122.479398431,
33198,Laguna Honda/Hospital,37.7479099548,-122.459067104,
33201,Clarendon/Olympia,37.7514709337,-122.456601746,
33202,Galewood/Clarendon,37.7522352007,-122.456048483,
33203,Clarendon/Panorama,37.7536741299,-122.455579022,
5534,5534,37.274474236,-121.933886509,
33209,Hwy 101 S Off-ramp/Hester/Bayshore,37.7153387933,-122.398991053,
5535,5535,37.2724827586,-121.932944615,
33212,24th/Hoffman,37.7507906374,-122.440613094,
33213,3rd/Hudson,37.7402660999,-122.388651311,
33214,Hudson/Mendell,37.7389307643,-122.386309949,
33215,Hudson/Keith,37.7374239896,-122.384001422,
33216,Hudson/Cashmere,37.7358324045,-122.383679147,
