taz,lon,lat
1,-122.41370249300,37.70949844400
2,-122.46369998200,37.70921529400
3,-122.42099829600,37.70978158000
4,-122.45688334600,37.70948647200
5,-122.41666375400,37.70984005700
6,-122.40849890400,37.70988143300
7,-122.41892611000,37.71148020400
8,-122.43372634900,37.71017636200
9,-122.45256302900,37.71066078800
10,-122.45906396700,37.71194275400
11,-122.44038133400,37.71209259800
12,-122.41970510600,37.71281062400
13,-122.44911440700,37.71192104800
14,-122.43571909000,37.71223973500
15,-122.40493053800,37.71280768100
16,-122.46686038200,37.71145764200
17,-122.41321507800,37.71298378300
18,-122.40894042000,37.71404910800
19,-122.44071390100,37.71395976000
20,-122.45911136300,37.71469448800
21,-122.43674671700,37.71519810200
22,-122.44782644300,37.71412730600
23,-122.40546938100,37.71612574600
24,-122.46912117800,37.71448579500
25,-122.46497042900,37.71629232100
26,-122.45435792400,37.71692021400
27,-122.40082767200,37.71597075600
28,-122.45287790600,37.71469033300
29,-122.45971470900,37.71714523800
30,-122.40481881900,37.71809180500
31,-122.48286835500,37.71688855600
32,-122.44339334800,37.71668075300
33,-122.43403199200,37.71693741100
34,-122.47971498500,37.71733120900
35,-122.45564394500,37.71913620000
36,-122.40404403700,37.71974517700
37,-122.42972802300,37.71809179800
38,-122.44634682700,37.71852310500
39,-122.43718242500,37.71873442000
40,-122.46428208100,37.71982266100
41,-122.46073966100,37.72003639500
42,-122.46932870100,37.72065609700
43,-122.44996161800,37.71962098400
44,-122.40087032400,37.72047159000
45,-122.45431453500,37.72125224900
46,-122.44365480500,37.72150954500
47,-122.42772675600,37.72128493200
48,-122.43899400300,37.72106379500
49,-122.40826489000,37.72171333700
50,-122.43360318800,37.72199475300
51,-122.40352835300,37.72313334400
52,-122.48325966900,37.72066736100
53,-122.45649377200,37.72290599800
54,-122.46081527600,37.72336501100
55,-122.44114403600,37.72466070800
56,-122.43638872900,37.72515878000
57,-122.40364167200,37.72599884700
58,-122.43099130000,37.72502079700
59,-122.46605164300,37.72400966100
60,-122.42112454900,37.72638277900
61,-122.42478775600,37.72512780200
62,-122.42819368600,37.72739022300
63,-122.40805876500,37.72647717000
64,-122.41768917400,37.72762659900
65,-122.44919498700,37.72624669300
66,-122.43443305600,37.72777560000
67,-122.38428438500,37.72880082500
68,-122.38971370500,37.72904468800
69,-122.42637520000,37.72932686900
70,-122.41128510500,37.72944090200
71,-122.44355790900,37.73013844600
72,-122.42319901900,37.73039404400
73,-122.45008619900,37.73029250600
74,-122.38802144800,37.73092273000
75,-122.41646606400,37.73062328500
76,-122.39388678000,37.73130605200
77,-122.43317985200,37.73078522000
78,-122.43716652100,37.73259545700
79,-122.40546227000,37.73025928400
80,-122.42953033900,37.73271809000
81,-122.49562711200,37.73145293900
82,-122.45747627700,37.73242703600
83,-122.49125751300,37.73183062700
84,-122.48720365900,37.73224814800
85,-122.48278812100,37.73275204300
86,-122.47754594400,37.73285349500
87,-122.41876068700,37.73357185700
88,-122.42499791100,37.73393755000
89,-122.40112737700,37.73267198300
90,-122.42297338400,37.73636353200
91,-122.46260900900,37.73355246200
92,-122.40935159000,37.73345224400
93,-122.49645397800,37.73519107500
94,-122.42899024600,37.73640178000
95,-122.44416702000,37.73389319900
96,-122.41529378700,37.73673405600
97,-122.43744695800,37.73625990600
98,-122.41833177000,37.73737566300
99,-122.50360801700,37.73676534500
100,-122.41315947800,37.73696837400
101,-122.42737695600,37.73875621300
102,-122.42202268900,37.73889172600
103,-122.46202278400,37.73828926900
104,-122.42690940600,37.74103216500
105,-122.41975331800,37.74094264000
106,-122.50016536300,37.73850193200
107,-122.42631189500,37.74278643700
108,-122.42224487400,37.74214108800
109,-122.46364102100,37.74155159100
110,-122.50570490200,37.74087907400
111,-122.50296039200,37.74092251900
112,-122.49686621900,37.74212277600
113,-122.42893699500,37.74396984800
114,-122.40885657800,37.74358851300
115,-122.47301716600,37.74410951000
116,-122.41826541800,37.74393208400
117,-122.45479650000,37.74249313800
118,-122.45950776100,37.74344917900
119,-122.42452118900,37.74509663900
120,-122.42916450000,37.74637064800
121,-122.47314721600,37.74597520300
122,-122.45655339500,37.74537458600
123,-122.42421827900,37.74708509900
124,-122.42033462900,37.74572360600
125,-122.41484963700,37.74741721900
126,-122.40788668900,37.74676484000
127,-122.42821836600,37.74864272300
128,-122.42207132600,37.74900978200
129,-122.41929407200,37.74937292900
130,-122.41708987300,37.74944690500
131,-122.50335519900,37.74651501600
132,-122.50060904300,37.74569774000
133,-122.41489837900,37.74954008300
134,-122.41023284600,37.74972710300
135,-122.40730613500,37.74992698300
136,-122.47761267700,37.74764869200
137,-122.43566271300,37.74954029800
138,-122.43172817700,37.74983874700
139,-122.42733932400,37.75090765000
140,-122.42316561100,37.75061755100
141,-122.41279431100,37.75042972200
142,-122.43858041400,37.75182298300
143,-122.42749310500,37.75250528000
144,-122.42299362200,37.75277488000
145,-122.46798108000,37.75106181700
146,-122.41448361900,37.75275055700
147,-122.43199952600,37.75263551300
148,-122.40466600000,37.75213214000
149,-122.41052725000,37.75272119200
150,-122.40774409600,37.75288736500
151,-122.45548182500,37.74943571400
152,-122.39916217200,37.75283569900
153,-122.50523060800,37.75204368600
154,-122.45088907300,37.75075758400
155,-122.49919341400,37.75186826400
156,-122.42315032100,37.75437196000
157,-122.41964066300,37.75297403300
158,-122.41744174600,37.75310881600
159,-122.43959152300,37.75380449100
160,-122.50542160900,37.75390743700
161,-122.43603255200,37.75440465600
162,-122.43222878400,37.75502981900
163,-122.49878167600,37.75419261900
164,-122.42772282300,37.75489981400
