unique_id,max_prob,min_prob,path_exists
10---Caltrain---2014,no_match,no_match,0
100---Caltrain---2014,no_match,no_match,0
1000---BART---2015,no_match,no_match,0
1000---Caltrain---2014,no_match,no_match,0
10005---BART---2015,no_match,no_match,0
100066---Sonoma County---2012,no_match,no_match,0
100122---Sonoma County---2012,no_match,no_match,0
1002---BART---2015,no_match,no_match,0
1002---Caltrain---2014,no_match,no_match,0
10022---BART---2015,no_match,no_match,0
10024---BART---2015,no_match,no_match,0
100262---Sonoma County---2012,no_match,no_match,0
10028---BART---2015,no_match,no_match,0
100281---Sonoma County---2012,no_match,no_match,0
10036---BART---2015,no_match,no_match,0
10038---BART---2015,no_match,no_match,0
1004---Caltrain---2014,no_match,no_match,0
1004---Napa Vine---2014,no_match,no_match,0
1004---Tri-Delta---2014,no_match,no_match,0
10040---BART---2015,no_match,no_match,0
100476---Sonoma County---2012,no_match,no_match,0
100488---Sonoma County---2012,no_match,no_match,0
100495---Sonoma County---2012,no_match,no_match,0
100497---Sonoma County---2012,no_match,no_match,0
1005---Napa Vine---2014,no_match,no_match,0
10057---BART---2015,no_match,no_match,0
10058---BART---2015,no_match,no_match,0
1006---Napa Vine---2014,no_match,no_match,0
10067---BART---2015,no_match,no_match,0
10072---BART---2015,no_match,no_match,0
1008---BART---2015,no_match,no_match,0
1008---Tri-Delta---2014,no_match,no_match,0
1009---Tri-Delta---2014,no_match,no_match,0
10095---BART---2015,no_match,no_match,0
10099---BART---2015,no_match,no_match,0
10100---BART---2015,no_match,no_match,0
10112---BART---2015,no_match,no_match,0
10116---BART---2015,no_match,no_match,0
1012---BART---2015,no_match,no_match,0
1012---Tri-Delta---2014,no_match,no_match,0
10121---BART---2015,no_match,no_match,0
10126---BART---2015,no_match,no_match,0
10128---BART---2015,no_match,no_match,0
10136---BART---2015,no_match,no_match,0
1014---BART---2015,no_match,no_match,0
10149---BART---2015,no_match,no_match,0
10159---BART---2015,no_match,no_match,0
10169---BART---2015,no_match,no_match,0
1017---Tri-Delta---2014,no_match,no_match,0
10170---BART---2015,no_match,no_match,0
10171---BART---2015,no_match,no_match,0
10176---BART---2015,no_match,no_match,0
10177---BART---2015,no_match,no_match,0
1018---BART---2015,no_match,no_match,0
1018---Tri-Delta---2014,no_match,no_match,0
10180---BART---2015,no_match,no_match,0
10184---BART---2015,no_match,no_match,0
1019---Caltrain---2014,no_match,no_match,0
102---Caltrain---2014,no_match,no_match,0
10201---BART---2015,no_match,no_match,0
1021---Caltrain---2014,no_match,no_match,0
1022---BART---2015,no_match,no_match,0
10224---BART---2015,no_match,no_match,0
10226---BART---2015,no_match,no_match,0
10230---BART---2015,no_match,no_match,0
10234---BART---2015,no_match,no_match,0
10236---BART---2015,no_match,no_match,0
1024---BART---2015,no_match,no_match,0
10240---BART---2015,no_match,no_match,0
10242---BART---2015,no_match,no_match,0
10251---BART---2015,no_match,no_match,0
10257---BART---2015,no_match,no_match,0
10262---BART---2015,no_match,no_match,0
10264---BART---2015,no_match,no_match,0
10266---BART---2015,no_match,no_match,0
1027---Caltrain---2014,no_match,no_match,0
10270---BART---2015,no_match,no_match,0
10279---BART---2015,no_match,no_match,0
1028---BART---2015,no_match,no_match,0
10280---BART---2015,no_match,no_match,0
10283---BART---2015,no_match,no_match,0
1029---Tri-Delta---2014,no_match,no_match,0
10296---BART---2015,no_match,no_match,0
10301---BART---2015,no_match,no_match,0
10303---BART---2015,no_match,no_match,0
10305---BART---2015,no_match,no_match,0
1031---Tri-Delta---2014,no_match,no_match,0
10319---BART---2015,no_match,no_match,0
1032---Napa Vine---2014,no_match,no_match,0
10321---BART---2015,no_match,no_match,0
10327---BART---2015,no_match,no_match,0
10331---BART---2015,no_match,no_match,0
10337---BART---2015,no_match,no_match,0
1034---BART---2015,no_match,no_match,0
1034---Tri-Delta---2014,no_match,no_match,0
10344---BART---2015,no_match,no_match,0
10348---BART---2015,no_match,no_match,0
10350---BART---2015,no_match,no_match,0
10353---BART---2015,no_match,no_match,0
1036---Napa Vine---2014,no_match,no_match,0
1036---Tri-Delta---2014,no_match,no_match,0
10363---BART---2015,no_match,no_match,0
10364---BART---2015,no_match,no_match,0
10366---BART---2015,no_match,no_match,0
1037---Caltrain---2014,no_match,no_match,0
10371---BART---2015,no_match,no_match,0
10377---BART---2015,no_match,no_match,0
10379---BART---2015,no_match,no_match,0
10383---BART---2015,no_match,no_match,0
10385---BART---2015,no_match,no_match,0
10388---BART---2015,no_match,no_match,0
10397---BART---2015,no_match,no_match,0
1041---BART---2015,no_match,no_match,0
10415---BART---2015,no_match,no_match,0
10418---BART---2015,no_match,no_match,0
10419---BART---2015,no_match,no_match,0
