*Original Source: 2012 Muni APC time period distributions (https://github.com/sfcta/fast-trips_demand_converter/blob/master/PreferredDepartureTime.dat)
*The time period CDFs in the original file were used to generate hour CDFs.
*Hour,StartMin,CDF
3,180,0.107293355
3,185,0.210048622
3,190,0.308589951
3,195,0.402593193
3,200,0.492382496
3,205,0.574068071
3,210,0.653160454
3,215,0.729011345
3,220,0.801944895
3,225,0.871636953
3,230,0.938735818
3,235,1
4,240,0.098812095
4,245,0.194384449
4,250,0.286717063
4,255,0.376349892
4,260,0.462203024
4,265,0.528617711
4,270,0.598272138
4,275,0.671706263
4,280,0.74838013
4,285,0.828833693
4,290,0.913066955
4,295,1
5,300,0.039897294
5,305,0.087892554
5,310,0.143985779
5,315,0.208374482
5,320,0.280663638
5,325,0.361840806
5,330,0.450918428
5,335,0.547698993
5,340,0.652380012
5,345,0.764961485
5,350,0.885245902
5,355,1
6,360,0.025492468
6,365,0.053302433
6,370,0.083429896
6,375,0.115874855
6,380,0.15179606
6,385,0.225955968
6,390,0.317497103
6,395,0.426419467
6,400,0.552723059
6,405,0.696407879
6,410,0.857473928
6,415,1
7,420,0.042166992
7,425,0.091594527
7,430,0.148841106
7,435,0.21390673
7,440,0.286232896
7,445,0.37559341
7,450,0.468584194
7,455,0.565763753
7,460,0.666852834
7,465,0.77213069
7,470,0.881318068
7,475,1
8,480,0.07775378
8,485,0.156587473
8,490,0.23650108
8,495,0.317674586
8,500,0.400107991
8,505,0.490820734
8,510,0.579913607
8,515,0.667206623
8,520,0.75287977
8,525,0.836573074
8,530,0.918646508
8,535,1
9,540,0.09726776
9,545,0.192349727
9,550,0.284153005
9,555,0.373770492
9,560,0.460655738
9,565,0.540983607
9,570,0.620218579
9,575,0.698360656
9,580,0.775409836
9,585,0.85136612
9,590,0.926229508
9,595,1
10,600,0.093184979
10,605,0.183588317
10,610,0.272600834
10,615,0.359527121
10,620,0.445062587
10,625,0.52364395
10,630,0.602225313
10,635,0.680806676
10,640,0.760083449
10,645,0.839360223
10,650,0.918636996
10,655,1
11,660,0.08650261
11,665,0.17300522
11,670,0.258016406
11,675,0.343027591
11,680,0.427293065
11,685,0.507084265
11,690,0.587621178
11,695,0.668903803
11,700,0.75093214
11,705,0.833706189
11,710,0.917225951
11,715,1
12,720,0.077294686
12,725,0.155969634
12,730,0.236024845
12,735,0.316770186
12,740,0.399585921
12,745,0.488612836
12,750,0.576259489
12,755,0.663216011
12,760,0.749482402
12,765,0.835058661
12,770,0.91994479
12,775,1
13,780,0.080856945
13,785,0.162404976
13,790,0.244644091
13,795,0.326883207
13,800,0.409813407
13,805,0.492743607
13,810,0.576364893
13,815,0.659986178
13,820,0.744989634
13,825,0.829993089
13,830,0.91568763
13,835,1
14,840,0.077784692
14,845,0.156191661
14,850,0.235220909
14,855,0.316116988
14,860,0.398257623
14,865,0.482887368
14,870,0.567517113
14,875,0.653391413
14,880,0.73988799
14,885,0.827006845
14,890,0.914747978
14,895,1
15,900,0.05752754
15,905,0.115871073
15,910,0.175438596
15,915,0.23623011
15,920,0.298245614
15,925,0.362301102
15,930,0.465524276
15,935,0.569563443
15,940,0.675234598
15,945,0.781721746
15,950,0.889432885
15,955,1
16,960,0.08155922
16,965,0.163718141
16,970,0.245877061
16,975,0.328635682
16,980,0.411694153
16,985,0.495352324
16,990,0.579010495
16,995,0.663268366
16,1000,0.747526237
16,1005,0.832083958
16,1010,0.916641679
16,1015,1
17,1020,0.079545455
17,1025,0.159943182
17,1030,0.241193182
17,1035,0.323295455
17,1040,0.406534091
17,1045,0.496590909
17,1050,0.584943182
17,1055,0.671590909
17,1060,0.756818182
17,1065,0.840056818
17,1070,0.921590909
17,1075,1
18,1080,0.076857869
18,1085,0.152868042
18,1090,0.227465386
18,1095,0.300932467
18,1100,0.372986719
18,1105,0.447018932
18,1110,0.547047188
18,1115,0.643684657
18,1120,0.737496468
18,1125,0.827917491
18,1130,0.915230291
18,1135,1
19,1140,0.107703815
19,1145,0.21091997
19,1150,0.309648467
19,1155,0.404263276
19,1160,0.494016455
19,1165,0.575542259
19,1170,0.65407629
19,1175,0.729992521
19,1180,0.802543007
19,1185,0.872849663
19,1190,0.939790576
19,1195,1
20,1200,0.093009479
20,1205,0.184834123
20,1210,0.2742891
20,1215,0.362559242
20,1220,0.449052133
20,1225,0.53436019
20,1230,0.617298578
20,1235,0.699052133
20,1240,0.777843602
20,1245,0.85485782
20,1250,0.930094787
20,1255,1
21,1260,0.090413094
21,1265,0.180046765
21,1270,0.26812159
21,1275,0.355416991
21,1280,0.441153546
21,1285,0.528448948
21,1290,0.61340608
21,1295,0.696024942
21,1300,0.776305534
21,1305,0.854247857
21,1310,0.92985191
21,1315,1
22,1320,0.090447154
22,1325,0.178861789
22,1330,0.267276423
22,1335,0.353658537
22,1340,0.43902439
22,1345,0.526422764
22,1350,0.610772358
22,1355,0.693089431
22,1360,0.773373984
22,1365,0.850609756
22,1370,0.925813008
22,1375,1
23,1380,0.103448276
23,1385,0.203898051
23,1390,0.301349325
23,1395,0.394302849
23,1400,0.484257871
23,1405,0.568215892
23,1410,0.650674663
23,1415,0.728635682
23,1420,0.802098951
23,1425,0.874062969
23,1430,0.940029985
23,1435,1
0,1440,0.104
0,1445,0.205333333
0,1450,0.298666667
0,1455,0.392
0,1460,0.48
0,1465,0.565333333
0,1470,0.645333333
0,1475,0.722666667
0,1480,0.797333333
0,1485,0.866666667
0,1490,0.936
0,1495,1
1,1500,0.1
1,1505,0.2
1,1510,0.291304348
1,1515,0.382608696
1,1520,0.469565217
1,1525,0.543478261
1,1530,0.617391304
1,1535,0.695652174
1,1540,0.769565217
1,1545,0.843478261
1,1550,0.917391304
1,1555,1
2,1560,0.133802817
2,1565,0.253521127
2,1570,0.373239437
2,1575,0.478873239
2,1580,0.577464789
2,1585,0.647887324
2,1590,0.718309859
2,1595,0.788732394
2,1600,0.85915493
2,1605,0.929577465
2,1610,1
